,sentence,category
13076,"Если нельзя какие то операции делать в нормальных банках они просто напросто не проходят, а не как здесь непонятно как - то проходят, то не проходят!",Quality
13078,"примерно в 22:55 ""съел"" средства в размере 60 000 руб. (12 купюр по 5 тыс.), не зачислил их на карту и не вернул, квитанцию не выдал.",Quality
13080,"Выполнили все ,что написали в ответе на мое обращение ,не нарушая ничего и все в установленные сроки Очень приятно ,что есть такая поддержка и такое внимательное отношение к клиентам банка Рекомендую данный банк",Communication
13082,"Платежи также проводились без проблем, это огромный плюс Банку, мне было очень приятно пользоваться этой банковской картой.",Quality
13084,"Первый раз обращался, находясь в Санкт-Петербурге, где мне почти полгода отключали мобильный банк  , непонятно куда пропадали заявления на отключение этой услуги!",Quality
13086,"Хочется так же отметить приложение и сайт, интерфейс чистый, ничего лишнего нету.",Quality
13088,Работа службы качества на 1 балл из 10.,Communication
13090,"На возмущение в сроках, так как один сотрудник просит придти за справкой после 20-го января, а другой просит придти после 60 календарных дней, поставило в тупик и вразочарование.",Communication
13092,Но мои средства что были на карте до сих пор не вернули!...,Quality
13094,"Господа, это как минимум странно, а как максимум неуважительное отношение к своим клиентам.",Communication
13096,"Спасибо операторам отделения банка по адресу г. Магнитогорск, пр. Ленина, 74а.",Communication
13098,"И паспортные данные в своих системах поменяла, и перевыпустить карты с новой фамилией предложила, денежек на телефон по шаблону перевела, про акцию ""приведи друга"" рассказала... даже сказала, что банк меня ценит как хорошего клиента.",Communication
13099,"И паспортные данные в своих системах поменяла, и перевыпустить карты с новой фамилией предложила, денежек на телефон по шаблону перевела, про акцию ""приведи друга"" рассказала... даже сказала, что банк меня ценит как хорошего клиента.",Quality
13100,"Результат: потраченные впустую время - мы за неделю заказали деньги, пришлось отпрашиваться с работы, отменять планы; деньги - мы до сих пор не имеем возможности пользоваться своими деньгами; нервы - общение с менеджерами банка отбило всякую охоту появляться тут вновь.",Quality
13101,"Результат: потраченные впустую время - мы за неделю заказали деньги, пришлось отпрашиваться с работы, отменять планы; деньги - мы до сих пор не имеем возможности пользоваться своими деньгами; нервы - общение с менеджерами банка отбило всякую охоту появляться тут вновь.",Communication
13102,"В офис банка приехала утром... очередь была ОГРОМНАЯ... На ресепшене отправили ждать... Время ожидания составило меньше 10 минут) Менеджер все объяснила, ДС подписали и всё!",Quality
13103,"В офис банка приехала утром... очередь была ОГРОМНАЯ... На ресепшене отправили ждать... Время ожидания составило меньше 10 минут) Менеджер все объяснила, ДС подписали и всё!",Communication
13104,"Меня полностью устраивает обслуживание в Тинькофф Банке моей дебетовой карты - реальные большие проценты за деньги в режиме вклада ""до востребования"", отсутствие очередей как в сам банк (ввиду отсутствия офисов), так и в банкоматы, потому что снять деньги без комиссий можно в любом банкомате любого банка!",Quality
13105,"Меня полностью устраивает обслуживание в Тинькофф Банке моей дебетовой карты - реальные большие проценты за деньги в режиме вклада ""до востребования"", отсутствие очередей как в сам банк (ввиду отсутствия офисов), так и в банкоматы, потому что снять деньги без комиссий можно в любом банкомате любого банка!",Price
13106,"Сказали 2 дня ожидать ответ. Увы, ожидать и слушать каждый день одно и тоже - надоело!",Communication
13108,"Я, Осипова Екатерина Алексеевна, 17 апреля 2014г совершила самую ужасную ошибку в своей жизни: ""Ипотека в Промсвязьбанке"", начиталась уже столько отзывов, сама столкнулась с таким откровенным начхательством, что уже и не верю, что данное письмо что-то решит, но как говорится: ""Попытка не пытка"".",Quality
13110,Так что администрацию банка прошу определить самой какому Никите вынести благодарность))) Общение в чате длилось 07.06.2018 в период с 21-12 до 23-11.,Communication
13112,"21.04 2020 мне одобрили заявку со словами, ""ожидайте звонка из банка для согласования времени и даты подписания нового графика платежа"" и на этом ВСЕ!",Communication
13114,Такого отвратительного отношения к людям и хамства я не испытывал на себе давно.,Communication
13116,"Сегодня Райффайзенбанк сочетает в себе театр абсурда, черную дыру и квинтэссенцию некомпетентности и безответственности своих сотрудников.",Quality
13118,"Куда теперь обратиться и жаловаться, как на них повлиять, работать не хотят, научились только хамить и кидать трубки.",Communication
13120,В ТКС самые вежливые и грамотные операторы.,Communication
13122,Еща раз СПАСИБО за вашу работу!,Communication
13124,"Так как моя работа в будни до 20:00, при разговоре Ирина согласилась о встрече и оформлении на выходные дни, что очень понравилось что сотрудники Почта Банка клиентоориентированны.",Communication
13126,"Настояв на том, чтобы мне поставили входящий номер, последовал кучу хамства и что слова о том что у них такие правила, и никаких входящих номеров или записей ""принято"" они не ставят и ставить не будут!",Communication
13128,"Хочу выразить свою огромную благодарность всем работникам отдела депозитов, кассиру и, особенно, начальнику отдела Долговой Ирине Александровне за высокое качество сервиса, взаимопонимание, мудрое и профессиональное отношение к клиентам, в т.ч. ко мне за весь период моего обслуживания в банке.",Communication
13130,"Любую услугу можно отключить и деньги возрашают, а тут  нас можно сказать обманом подключили, дак ещё и деньги не возрашают, хотя бы отключая не будем пользоваться услугой!!!",Communication
13132,"Кторуководит этим банком, что так грубо, безграмотно нарушаются правила тарифов, опубликованногона собственном сайте банка?",Quality
13134,"Ирина Викторовна со мной разговаривала недопустимым тоном, не давала вставить и слова, и угрожала написать заявление в бюро кредитных историй эта позиция мне не понятна, я не похожа на мошенника, всегда плачу кредиты вовремя и никаких просрочек никогда не было, деньги находятся на счете в банке я все оплачивала вовремя неужели так сложно перевести деньги на другой счет и решить эту проблему сейчас я просто в недоумении от всего происходящего.",Communication
13136,"И я бы не допустила, чтобы у меня работали такие некомпетентные сотрудники, которые просто ""разводят"" клиента на не нужные услуги.",Communication
13138,"- подумал я. С лето банком у меня были КРАЙНЕ тёплые отношения, поэтому я не сомневался что все будет хорошо, тем более что кредитная история в этом банке у меня отличная.",Quality
13140,"Карта всегда работает, условия очень привлекательные и не нужны эти офисы!",Quality
13142,"Сотрудника сообщил, что не видит ни каких запросов на авторизации и сказал, что помочь ни чем не может?!",Quality
13144,"Все время согласовывалось, всё делалось быстро.",Communication
13145,"Все время согласовывалось, всё делалось быстро.",Quality
13146,"После этот псевдоспециалист начала спрашивать с кем я разговаривал, я назвал имя секретаря Елены, на что был ответ, что вообще это не в ее компетенции и вообще, чтобы я помалкивал или она не даст деньги.",Communication
13148,"Вы - самый худший банк, который я знаю.",Quality
13150,"При этом со всеми менеджерами я спокойно могу связаться по рабочему телефону, а если они не могут помочь мне по телефону, то рекомендуют обратиться на горячую линию и даже объясняют как лучше задать вопрос.",Communication
13152,"Из плюсов хочу отметить:- очень удобный мобильный банк (даже удобнее, чем интернет-банк): на мой взгляд, лучшее из всех подобных приложений, которыми я пользуюсь (а мне есть с чем сравнивать);- хорошая работа службы безопасности: как-то расплатилась картой в Париже, мне через минуту перезвонили, чтобы убедиться, что это я, а не мошенники;- широкая сеть отделений и банкоматов (жаль только, что в связи с реструктуризацией большинство отделений перестали работать по выходным)- хороший call-центр: дозвониться можно за пару минут, консультируют всегда хорошо, проблему обычно решают- из Банка ни разу не звонили и не навязывали никаких кредитов.",Quality
13154,"Мы купили услугу банка, а банк ее даже оказать нормально не может!",Quality
13156,"Почему Вы участвуете в активном обмане клиентов сначала при заключении договоров, а потом при заключении дополнительных соглашений?",Communication
13158,"Ставлю кол (ситуация обязывает), но к сберу вообще-то отношусь хорошо (в разное время имел карты, депозиты, желтые кружки и пр.), но понимаю, что в семье не без урода.",Quality
13160,А оператор это еще хуже чем их онлайн банк.,Communication
13162,"Кроме того, грубо нарушены все сроки на перевод моих денежных средств, что прямо нарушает: требования ст. 31 ФЗ ""О банках и банковской деятельности"" и требования ст. 849 ГК РФ.16.05.2019 года при повторном обращении Г-а Л. Ф. совместно с директором центра Петровой Л. В. не смогли ответить на каком основании мне было отказано в обслуживании 07.05.2019 года, на каком основании мое Распоряжение на перевод денежных средств не исполнено.",Quality
13163,"Кроме того, грубо нарушены все сроки на перевод моих денежных средств, что прямо нарушает: требования ст. 31 ФЗ ""О банках и банковской деятельности"" и требования ст. 849 ГК РФ.16.05.2019 года при повторном обращении Г-а Л. Ф. совместно с директором центра Петровой Л. В. не смогли ответить на каком основании мне было отказано в обслуживании 07.05.2019 года, на каком основании мое Распоряжение на перевод денежных средств не исполнено.",Communication
13164,"С тех пор отказывают в приеме обращений, ссылаясь на то, что я могу обратиться к ним лишь единожды!",Communication
13166,"И что еще хочу отметить, все вопросы были решены четко и оперативно.",Quality
13168,"Единственный минус: они переводят в обязательном порядке 5 % от суммы кредита на навязанную кредитную карту, которую можно будет получить только через 2 недели, а потом еще ее надо активировать.",Communication
13170,"Данное предложение меня полностью устроило и я решил согласиться, 01.08.2018 года я с паспортом подъехал в ближайшее отделение банка №8586/0133 по адресу: г. Иркутск, ул. Мира, д.100-А. Время было около 12 часов дня.",Communication
13172,"СМС оповещение бесплатное, настраивается на отправку по различным событиям, ни разу не сбойнуло.5.",Communication
13174,"В своем обращении к Банку я хотел бы выразить огромную благодарность Пл-вой Виктории,за то,что она всегда приветлива,с улыбкой на лице внимательно выслушает, все подробно расскажет, посчитает и еще расскажет о новых предложениях от Банка.",Communication
13176,"Оксана Николаевна записала два моих телефона и обещала позвонить до 12:00 сообщить, когда я смогу приехать за вкладом.24.10.13 в 11.47 я позвонила сама.",Communication
13178,"Понравилось отношение банка Авангард, честно говоря, приятно удивило частое присутствие и участие в дискуссиях на форумах начальницы отдела кредитных карт Авангарда.",Quality
13180,Твердая пятерка в оценке работы банка.,Quality
13182,"Приехал в данное отделение 13.10.2017, обратился к специалисту Константину Г., долго он что то там делал, сказал - пока программа не пропускает, видимо потому что сегодня только 45-й день!",Communication
13184,"Звоню в колл-центр. Оператор сообщает, что каждая из этих услуг может существовать по отдельности просто прекрасно, и при подключении автоплатежа совершенно не обязательно иметь смс-уведомления.",Communication
13186,"Я ничего не знаю, на меня просто переключили!",Communication
13188,Очень надеюсь на положительное решение по моему вопросу и дальнейшее успешное сотрудничество.30.4.2020 22:50Альфа-Банк положительно решил мой вопрос.,Communication
13190,"Единственная сотрудница, которую могу отметить в лучшую сторону - Мария из отделения на Пришвина 22, заинтересована в помощи клиентам, всегда внимательна и доброжелательна.",Communication
13192,"Я связалась с банком через чат в приложении, ждала подключения по пол часа, обновляла сессии, потому что они сами завершались (вроде как безопасность все дела) и наконец-то связалась!",Communication
13194,"Впервые стала клиентом Тинькофф банка пообщалась с сотрудником Юлией в чате, сотрудник вошёл в положение, предоставил год бесплатного обслуживания, большое спасибо!",Communication
13196,Прошу обратить Ваше внимание на ужасную и непродуманную систему взаимодействия контакт центра и подразделений банка в г. Москва.,Communication
13198,"Требую закрыть все продукты, которые могли быть подключены мне сотрудником путём обманных действий через завладение телефоном 21 декабря 2020 года.",Safety
13200,"Просто ужас получил карту Тепло, мало того что навязали страховку (надо ж как то банку зарабатывать) хотя сразу говорил, а так же написал отказ.",Communication
13202,"На все мои вопросы я получила профессиональные и грамотные ответы, так держать!",Communication
13204,"Лопатина Т. Ю. помогла подготовить весь пакет документов, консультировала, грамотно направляла, курировала все действия.",Communication
13206,"Сотрудники банка некомпетентны, неклиентоориентированны.",Quality
13208,Ответ сотрудника банка по телефону меня поставил в шок!,Communication
13210,"Так что, имейте в виду, не ведитесь на такие обманы.",Quality
13212,"Я расцениваю эту ситуацию как обман со стороны сотрудника банка, умышленное не предоставление информации клиенту, впечатление от пользования качественным продуктом банка испорчено.",Communication
13214,Не пользуйтесь услугами Почта банком.,Quality
13216,"Про культуру общения видно им никто не сообщал и не обучал грамотному общению с людьми, постоянно перебивают, задавая вопросы ответы не слушают, ведут себя совершенно по хамски.",Communication
13218,"С баком, как с брокером вообще связываться нельзя: блокируют терминал аоивремя финансовых операций, меняют ""плечо"" с ш-го (по договору) на 5-е когда им вздумается.",Communication
13220,Это говорит о том что клиент действительно важен и это не пустые слова.,Quality
13222,29.01.18 карта опять не работает!,Quality
13224,"Девочки работали очень оперативно, слажено, без лишних вопросов.",Communication
13226,"В целом работой банка довольна, девушки в отделениях всегда приветливы и компетентны, но в общем - все как у всех, хотя еще пару лет назад мне казалось банк действительно выделяется на общем фоне по уровню обслуживанию.",Communication
13228,И мне вновь не войти в интернет-банк.,Quality
13230,"Очень приятно, что все сотрудники компетентны, подробно отвечают на все вопросы клиентов, помогают пожилым людям, которым иногда тяжело разобраться , например, в работе терминала.",Communication
13232,"На самом деле еще много плюсов в работе с банком встретил, включая оплату различных платежей (в т.ч. ЖКХ) без комиссий, все конечно не распишешь.",Quality
13234,"Но карта не получала ни кода идентификации, ни ПИН-кода, переключили на оператора и перваядевушка (Екатерина по-моему) сказала что банк в последнюю минуту не одобрил выдачу мне карты, на что я заметил что карта на руках и возможно это мошенники?",Communication
13236,"Распространение рекламы по сетям электросвязи, в том числе посредством использования телефонной, факсимильной, подвижной радиотелефонной связи,допускается только при условии предварительного согласия абонента или  адресата на получение рекламы.",Communication
13238,"Приходя в банк на Богдана Хмельницкого 6 (Оренбург), я замечаю, что каждый сотрудник со мной здоровается, и консультант всегда встречает и провожает к моему менеджеру.",Communication
13240,"Плюсы МКБ: отделение рядом с домом, в отделении не стояла в очереди, удобно пополнять карту, на моб.телефон приходит СМС с информацией стоимости по поездкам и баланс, вежливый, внимательный и квалифицированный персонал.",Communication
13242,"Когда я вышла и совершила первую покупку (с помощью GOOGLE PAY) и спустя время узнала, что бонусы начислены, была очень благодарна С-ой Анне.",Quality
13244,"Считаю что моей вины нет, в банке работают некомпетентные сотрудники, страшная бюрократия и непродуманная система.",Quality
13246,"ОТП директ понравился меньше, нужно еще дорабатывать.4.",Communication
13248,"Все у нас приняли и вроде все хорошо, я даже подумал, как-то все легко прошло.",Quality
13250,"На банки.ру уже есть похожие отзывы, видимо, Сбербанк мотивирует бонусами своих сотрудников избавляться от экономных клиентов... Хотя на мой взгляд, я за 5 лет ипотеки заплатил Сбербанку достаточно процентов, чтобы пользоваться картой бесплатно.",Price
13252,"10 % на остаток собственных средств и снятии наличных в любом банкомате без комиссии более 3 тыс.руб., по расчетной карте ТКС БАНКА - это очень здорово... Развитие ТКС БАНКА существенно, желаю дальнейших успехов и новых революционных проектов в работе.",Quality
13254,За профессиональную консультацию и грамотную помощь в оформлении данных продуктов.,Quality
13256,"Мне ничего не оставалось, как закрыть счета, якобы ""по собственному желанию""Поведение банка в данной ситуации выглядит как испуг или паника, так как мне никто ничего не смог объяснить.",Quality
13258,"на год, по онлайн заявке там платеж выходил по 3700, что в общем-то замечательно, ну и после звонка я такой довольный поехал на офис для оформления.",Communication
13260,"Как и обещал пишу отзыв только после месяца идеальной работы, очень надеюсь, что такие же впечатления будут и у остальных ваших клиентов.",Quality
13262,"Сотрудник Почта банка показала себе не компетентным, нагло врущим и при этом просто не культурным человеком.",Communication
13264,"Я не могу ловить окошки времени по записи и искать отделения, где специалисты в чем то разбираются!",Communication
13266,сотрудники мне ничего не отвечают!,Communication
13268,"Я вообще не понимаю, почему на пороге 2018-ого года, когда я могу вообще все делать с телефона в приложении того же Тинькоффбанка, мне не дают возможность заполнить эту анкету онлайн, раз еще и ответа ждать потом можно не один день.",Quality
13270,"Нельзя так навязывать свои услуги,особенно пожилым людям,которые не ориентируются в этих всех  банковских новинках.",Communication
13272,Сотрудники данного банка откровенно врут и вводят в заблуждение клиентов.,Communication
13274,"Но самое отвратительное, это глубокая лужа на полу, прямо в помещении банка.",Quality
13276,"Карту не оформляла, согласие на ее изготовление не давала, мне она не нужна, и вообще никакие кредитные продукты не нужны!",Communication
13278,"Ваша горячая линия ничего не знает, управляющая тоже ,мы передали, не наш отдел и т д Клиенты для данного банка никто ,никто ни за что не отвечает ,ни ваши менеджеры,управляющие, операторы.с!!!",Communication
13280,я у сотрудника спросила- получила ответ. но сотрудник меня обманул наглым образом.,Communication
13282,"Очень быстро ответили, подсказали банкомат ближайший, уточнили работоспособность.",Communication
13284,"4 февраля 2021 оформила кредита в КБ ""Ренессанс"" и получила впридачу пакет ""Замечательных услуг ФИНАНСОВАЯ ЗАЩИТА""Услуга мне стоила 16 953,30 рублей.",Communication
13286,"Смс-оповещение по кредитной карте с указанием номера и всех остальных сведений приходит совершенно чужому человеку, что является противозаконным.",Quality
13288,"Так себе банк, ужасное приложение с новыми ошибками каждый месяц.",Quality
13290,Врёт сайт интернет-магазина - потому что ничего не говорит о втихаря навязываемой услуге.,Communication
13292,Придя в офис на Троицкой (м. Цветной бульвар) у меня состоялась еще одна интересная беседа.,Communication
13294,Совковое хамство «вас много я одна» не видел ни разу.,Communication
13296,"В итоге нет возможности ни пополнить карту, ни закрыть-открыть вклад, ни оплатить услуги!",Quality
13298,Что за жалкая манипуляция через давление на чувство страха?,Communication
13300,"Я не заканчивала юридический факультет, не знаю принципа работы сбербанка, я просто хотела узнать, но меня отшили так, что я до сих пор в шоке, когда я еще раз позвонила туда, меня переключили на руководство, но и тут такая же история 30 минут слушала музыку, а потом просто положили трубку""!""",Communication
13302,В общем все заявления и звонки уходят в никуда.,Communication
13304,Очень рекомендуем специалиста за человеческое отношение к клиентам.,Communication
13306,"Крайне вежливый, предупредительный, быстрый и, что главное - понимающий и знающий, что делает молодой человек.",Communication
13308,"Причем на мою просьбу показать мне документы, которые якобы свидетельствуют о том, что я сама согласилась на страховку, мне тоже отказались показать.",Quality
13309,"Причем на мою просьбу показать мне документы, которые якобы свидетельствуют о том, что я сама согласилась на страховку, мне тоже отказались показать.",Communication
13310,За все время пользование услугами банка остались только положительные впечатления !,Communication
13312,"Со стороны банка произошло присвоение моих денежных средств, с чем я категорически не согласен.",Communication
13314,"Ни одного извинения в свой адрес за такую работу я не услышала только надменность и сами виноваты (зачем сюда пришли), кассиры вообще отельный разговор в этом офисе.",Communication
13316,"В нашей семье перестали накапливаться мили, а значит бесплатного билета к концу года нам не видать, а мы на него очень рассчитывали.5.",Quality
13318,"По телефону тоже решить вопрос никто не может,в разных отделах разная информация!!!!",Communication
13320,"Благодаря таким сотрудникам как она, рекомендую и продолжу рекомендовать Ваш банк всем друзьям и знакомым !",Communication
13321,"Благодаря таким сотрудникам как она, рекомендую и продолжу рекомендовать Ваш банк всем друзьям и знакомым !",Quality
13322,"Причем мне от банка не поступают от различные СМС: рыбки, акции, предложения, но НЕ ТА ИНФОРМАЦИЯ, КОТОРУЮ Я ЗАПРАШИВАЮ!!!",Communication
13324,"Я с удовольствием открыла вклад, поскольку первое впечатление о банке меня очень порадовало.",Quality
13326,"Полагаю, во многом в этом заслуга банка как структуры, эффективной и внимательной к работающим в ней людям.",Quality
13328,"Второй оператор сказал, что эта акция ТОЛЬКО для ПРЕДОДОБРЕННЫХ ранее заявок (хотя такого ограничения в правилах акции нет, есть срок акции с 02.08.2019 по 31.10.2019) и я в неё не попадаю, и, БАРАБАННАЯ ДРОБЬ, НИКАКИХ ЗАЯВОК НА ИЗГОТОВЛЕНИЕ ДЛЯ МЕНЯ ИМЕННОЙ КРЕДИТНОЙ КАРТЫ НЕТ!!!",Communication
13330,"В итоге, через месяц нам отказывают, ладно в сроки не уложились, т.к. по регламенту банка заявка должна рассматриваться в течение 10 дней, так еще и отношение хамское.",Communication
13332,"Но он постоянно либо не загружен, либо просто не работает!",Quality
13334,"Ничего не сказав о страховках, доп.услуг в виде ""финансового помощника"" - сертификата сотрудник Л-на Люба совместно с помощником руководителя Сп-вой А. Н. путем обмана и введение клиента в заблуждение впарили не нужные страховки жизни и сертификаты под названием ""Финансовый помощник"".",Communication
13336,И вообще банк не может пренудительно отключать мне мой тариф и навязывать какие-то другие платные услуги.,Communication
13338,"Являлась клиентом банка  больше 7 лет  последний год стали снимать непонятно как проценты, пошла разбираться , помочь нечем не смогли видят что снимается много а как подсчитать оказалось невозможно , снимают опять 750 руб за обслуживание Карты , решаю закрыть полностью карту  де, деньги сняты были за три дня до начала действия  карту закрываю 19 , а обслуживание должно начаться21  пишу претензию на возврат хотя бы этих денег получаю полный отказ",Communication
13340,"На мой взгляд это современный, профессиональный и самое главное - безопасный банк.",Quality
13341,"На мой взгляд это современный, профессиональный и самое главное - безопасный банк.",Safety
13342,"Я нахожусь в шоке, от того как наплевательски относятся к своим клиентам!",Quality
13344,"ИМЕЙТЕ ВВИДУ, ЧТО ВАШИ ДЕНЬГИ В ДАННОМ БАНКЕ МОГУТ ПРОЛЕЖАТЬ БЕЗ ПРОЦЕНТОВ ПРАКТИЧЕСКИ МЕСЯЦ!!",Quality
13346,"На отдел реструктуризации не переключают, чат в приложении отключили, горячую линию тоже, даже обращение невозможно зарегистрировать, т.к. переключают только на отдел по работе с просроченной задолженностью.",Communication
13348,"У меня очень плотный график, даже в выходные, а я потратил несколько часов в пустую и трачу в рабочее время его на звонки в колл-центры.",Communication
13350,"Столько некомпетентности сотрудников, сбоев в программах нет ни в одном банке.",Quality
13352,"Такое ощущение, что никто не в курсе по моему вопросу и что над ним вообще не работают.",Quality
13354,Почему месяц тягомотины и отрицательный ответ?!,Quality
13356,"Считаю, что банк просто не ценит своих клиентов и сотрудников, которые вынуждены отвечать на справедливые замечания.",Quality
13358,"Тут я уже поняла, что сотрудник ПАО «Почта Банк» не выполнил ни одной просьбы клиента и обманным путем уклоняется от принятия заявления на закрытие карты с целью дальнейшего начисления различных комиссий.",Communication
13360,"У меня у самого кредитная карта данного банка, для человека, который решил работать на себя не имея первоначального капитала, как было в моем случае, это очень хорошие  решение, тем более банк выдает кредитные карты предпринимателем,  в отличие от остальных банков.",Quality
13361,"У меня у самого кредитная карта данного банка, для человека, который решил работать на себя не имея первоначального капитала, как было в моем случае, это очень хорошие  решение, тем более банк выдает кредитные карты предпринимателем,  в отличие от остальных банков.",Price
13362,"Не дождался, поехал сам в банк, долго сотрудники совещались с центральным офисом, что-то там не так посчиталось, в общем на ровном месте с комиссией я должен ещё оплатить порядка 1500 рублей (счет, кстати, был уже заблокирован как минимум с месяц, карта и того раньше разрезана).",Price
13363,"Не дождался, поехал сам в банк, долго сотрудники совещались с центральным офисом, что-то там не так посчиталось, в общем на ровном месте с комиссией я должен ещё оплатить порядка 1500 рублей (счет, кстати, был уже заблокирован как минимум с месяц, карта и того раньше разрезана).",Quality
13364,"В августе обратилась уже в отделение на Пушкина, 54, сотрудник сказала, что они карты не закрывают вообще и не умеют этого  делать, что нужно обратиться на Тази Гиззата, спросила про доплату/переплату, сотрудник сказала, что ничего довносить не нужно и переплаты нет.",Communication
